['EXC na na na na']
['EXFO na na na na']
['XCUR na na na na']
['EXLS na na na na']
['EXPI na na na na']
['EXPE na na na na']
['EXPD na na na na']
['EXPC na na na na']
['EXPCU na na na na']
['EXPCW na na na na']
['EXPO na na na na']
['STAY na na na na']
['EXTR na na na na']
['EYEG na na na na']
['EYEN na na na na']
['EYPT na na na na']
['EZPW na na na na']
['FLRZ na na na na']
['FFIV na na na na']
['FB na na na na']
['FCAC na na na na']
['FCACU na na na na']
['FCACW na na na na']
['FLMN na na na na']
['FLMNW na na na na']
['DUO na na na na']
['FANH na na na na']
['FARM na -0.1021 36.4104 -1060271.0000']
['FMAO 22.1170 0.2889 64.0003 3699122.0000']
